id,spec_type,value,unit,context,source_folder,confidence_level,extraction_timestamp
1,db_values,90,dB,Sample from 87 instances,Multiple,documented,2025-11-04T13:26:34.673479
2,db_values,30,dB,Sample from 87 instances,Multiple,documented,2025-11-04T13:26:34.673479
3,db_values,120,dB,Sample from 87 instances,Multiple,documented,2025-11-04T13:26:34.673479
4,db_values,35,dB,Sample from 87 instances,Multiple,documented,2025-11-04T13:26:34.673479
5,db_values,132,dB,Sample from 87 instances,Multiple,documented,2025-11-04T13:26:34.673479
6,temperatures,4,C,Sample from 1386 instances,Multiple,documented,2025-11-04T13:26:34.673479
7,temperatures,534,c,Sample from 1386 instances,Multiple,documented,2025-11-04T13:26:34.673479
8,temperatures,100,k,Sample from 1386 instances,Multiple,documented,2025-11-04T13:26:34.673479
9,temperatures,97,f,Sample from 1386 instances,Multiple,documented,2025-11-04T13:26:34.673479
10,temperatures,6401,c,Sample from 1386 instances,Multiple,documented,2025-11-04T13:26:34.673479
11,financial_values,3.1,B,Sample from 2253 instances,Multiple,documented,2025-11-04T13:26:34.673479
12,financial_values,12.4,million,Sample from 2253 instances,Multiple,documented,2025-11-04T13:26:34.673479
13,financial_values,6.035,M,Sample from 2253 instances,Multiple,documented,2025-11-04T13:26:34.673479
14,financial_values,67,billion,Sample from 2253 instances,Multiple,documented,2025-11-04T13:26:34.673479
15,financial_values,11.8,,Sample from 2253 instances,Multiple,documented,2025-11-04T13:26:34.673479
16,trl_levels,6,TRL,Sample from 350 instances,Multiple,documented,2025-11-04T13:26:34.673479
18,trl_levels,8,TRL,Sample from 350 instances,Multiple,documented,2025-11-04T13:26:34.673479
19,trl_levels,1,TRL,Sample from 350 instances,Multiple,documented,2025-11-04T13:26:34.673479
20,trl_levels,7,TRL,Sample from 350 instances,Multiple,documented,2025-11-04T13:26:34.673479
21,market_sizes,3.1,B,Sample from 1276 instances,Multiple,documented,2025-11-04T13:26:34.673479
22,market_sizes,12.4,million,Sample from 1276 instances,Multiple,documented,2025-11-04T13:26:34.673479
23,market_sizes,6.035,M,Sample from 1276 instances,Multiple,documented,2025-11-04T13:26:34.673479
24,market_sizes,67,billion,Sample from 1276 instances,Multiple,documented,2025-11-04T13:26:34.673479
25,market_sizes,29,million,Sample from 1276 instances,Multiple,documented,2025-11-04T13:26:34.673479
26,years,2012,,Sample from 1031 instances,Multiple,documented,2025-11-04T13:26:34.673479
27,years,2005,,Sample from 1031 instances,Multiple,documented,2025-11-04T13:26:34.673479
28,years,2008,,Sample from 1031 instances,Multiple,documented,2025-11-04T13:26:34.673479
29,years,2000,,Sample from 1031 instances,Multiple,documented,2025-11-04T13:26:34.673479
30,years,2027,,Sample from 1031 instances,Multiple,documented,2025-11-04T13:26:34.673479
31,quantities,1025.27,,Sample from 25328 instances,Multiple,documented,2025-11-04T13:26:34.673479
32,quantities,3.99,,Sample from 25328 instances,Multiple,documented,2025-11-04T13:26:34.673479
33,quantities,318.8,,Sample from 25328 instances,Multiple,documented,2025-11-04T13:26:34.673479
34,quantities,14.89,,Sample from 25328 instances,Multiple,documented,2025-11-04T13:26:34.673479
35,quantities,3.02,,Sample from 25328 instances,Multiple,documented,2025-11-04T13:26:34.673479
36,percentages,75.0,%,Sample from 1023 instances,Multiple,documented,2025-11-04T13:26:34.673479
37,percentages,65.0,%,Sample from 1023 instances,Multiple,documented,2025-11-04T13:26:34.673479
38,percentages,68.3,%,Sample from 1023 instances,Multiple,documented,2025-11-04T13:26:34.673479
39,percentages,130.4,%,Sample from 1023 instances,Multiple,documented,2025-11-04T13:26:34.673479
40,percentages,14.3,%,Sample from 1023 instances,Multiple,documented,2025-11-04T13:26:34.673479
41,cagr_values,13,%,Sample from 57 instances,Multiple,documented,2025-11-04T13:26:34.673479
42,cagr_values,6,%,Sample from 57 instances,Multiple,documented,2025-11-04T13:26:34.673479
43,cagr_values,5,%,Sample from 57 instances,Multiple,documented,2025-11-04T13:26:34.673479
44,cagr_values,42,%,Sample from 57 instances,Multiple,documented,2025-11-04T13:26:34.673479
45,cagr_values,8,%,Sample from 57 instances,Multiple,documented,2025-11-04T13:26:34.673479
46,frequencies,100,kHz,Sample from 71 instances,Multiple,documented,2025-11-04T13:26:34.673479
47,frequencies,9.6,GHz,Sample from 71 instances,Multiple,documented,2025-11-04T13:26:34.673479
48,frequencies,10,THz,Sample from 71 instances,Multiple,documented,2025-11-04T13:26:34.673479
49,frequencies,1,Hz,Sample from 71 instances,Multiple,documented,2025-11-04T13:26:34.673479
50,frequencies,2000,Hz,Sample from 71 instances,Multiple,documented,2025-11-04T13:26:34.673479
51,performance_multipliers,100,improvement,Sample from 7 instances,Multiple,documented,2025-11-04T13:26:34.673479
52,performance_multipliers,000,x,Sample from 7 instances,Multiple,documented,2025-11-04T13:26:34.673479
